game_id,game_name,total_bets,total_wins,RTP
0283255e-0967-4bfa-b789-f670940dc921,Blackjack,89920,39262,87.74
1117d3e6-debc-4bdb-b167-5392cb39f9d3,Blackjack,92172,21072,86.04
89887d65-44a7-4596-bd4c-1905ae48414b,Blackjack,30488,42477,97.8
13036f43-9ce7-4d90-ae19-dba87fbe41ac,Sports Betting,60294,82133,92.14
642ba313-6bcf-47fc-8a59-2bd1788e4760,Sports Betting,51507,42700,96.69
aa3fc7b6-e581-45bb-912e-16885b3be59f,Sports Betting,63326,9746,93.27
d1885f4a-7665-405e-94e5-ff5624f7ecdc,Poker,77265,41793,88.72
409850bf-5216-4cba-b788-b15abc35e894,Slots,7878,58493,89.58
de54c7b5-b2fd-43a7-aff1-8a2336aad5c9,Poker,28953,83650,87.06
e5de5508-2a23-4fc8-a5ee-b9d040e10b0f,Poker,27639,85969,96.18
fa890733-8cb7-4ac5-872e-9b0a5af6b645,Roulette,82498,51451,93.97
2d46a3f0-27eb-4c65-8b3b-0d9f76229a46,Roulette,4661,36132,89.72
4748b803-5d11-4acd-9f95-d76de1178bac,Poker,40584,72028,94.88
0a6ac99a-1f15-4108-b070-dadc95cec8fc,Poker,69812,8133,88.14
a9793145-47e2-46a6-a7f5-03c0c12aaadc,Blackjack,44779,47346,97.94
03e3ce4c-3cad-46b5-8838-22902c5acdb4,Sports Betting,46780,26719,93.37
b2d75597-83f7-4fe0-863d-6bacd99e4344,Roulette,26434,61226,86.05
f8fd7e5d-50c1-40fb-bb83-75cf197d4661,Blackjack,98395,4565,95.76
d4d6726d-e524-4e14-977a-0af083a994cf,Roulette,32966,40077,93.33
82cbd999-dcad-4162-b5f4-3adfae8cc22b,Sports Betting,49851,80096,97.56
1cae384f-4fa1-4618-a397-2d184dbaa614,Roulette,8738,30627,87.81
17b61d5d-2c7f-48d7-b199-2e61ff99fe53,Sports Betting,62919,17508,97.87
22a73b66-7d8b-4a2e-ab1d-39d8fc3447ce,Slots,22465,46282,87.99
0ff7752f-af9a-496b-9cb8-c15e25625c3a,Blackjack,67512,5620,97.64
17a1022a-52f5-4369-94dd-51298527877c,Roulette,39555,15174,88.5
267404a0-ee36-4ed1-ab6a-a633a8fbd20d,Roulette,89455,34883,97.4
dbdee7df-6876-4344-81db-f9851fcc18be,Slots,86312,39754,92.28
33038350-88a9-4ecd-a12f-4d8b67863bff,Sports Betting,9120,80857,92.17
be859c2c-bb0e-4fe7-9c5f-1b58d9c03a41,Sports Betting,89528,48289,93.57
54c303e0-84db-416f-8cdd-54f4338884c7,Blackjack,64501,31211,97.55
ed17eea3-de20-49db-82f2-781d9a7a6a45,Poker,79302,87529,97.91
4fafeb03-4db3-4256-965e-bf9b5555059d,Poker,30890,36115,88.64
d18e8b58-1658-46f3-b17a-dd1510615de0,Poker,20189,9223,96.05
9bd0bf50-8502-456e-9d8a-cae9314ec5c8,Roulette,57796,65716,86.98
bd71c2d3-6a36-4f74-9c5d-1b5012fbfbfa,Sports Betting,24940,66209,88.57
a9bb740d-aeae-4d50-a8d9-d95c979e8e6d,Slots,82957,81266,91.1
bed2ec80-ab20-45d2-b53f-c5574275e88a,Poker,58907,21186,93.82
8c8820d6-a041-4483-9915-5d9d337d9397,Slots,71731,23881,88.66
3aefe758-6f72-41e3-b246-cd1cfd1d3f88,Slots,23323,51245,85.53
8c3e556d-3e0a-444f-b5f1-dc5fbecf4900,Slots,62169,21087,89.84
66403413-6392-471c-b204-dcc86dc9f4b9,Blackjack,47645,45530,94.14
5743d35d-c359-47e6-8dfd-231833c1c9b6,Blackjack,53261,87477,89.41
